WindCodes,IPO_DATE,MKT
002296.SZ,2009/9/29,中小板
002297.SZ,2009/9/29,中小板
002298.SZ,2009/9/29,中小板
002299.SZ,2009/10/21,中小板
002300.SZ,2009/10/21,中小板
002301.SZ,2009/10/21,中小板
002302.SZ,2009/11/3,中小板
002303.SZ,2009/11/3,中小板
002304.SZ,2009/11/6,中小板
002305.SZ,2009/11/6,中小板
002306.SZ,2009/11/11,中小板
002307.SZ,2009/11/11,中小板
002308.SZ,2009/11/27,中小板
002309.SZ,2009/11/27,中小板
002310.SZ,2009/11/27,中小板
002311.SZ,2009/11/27,中小板
002312.SZ,2009/12/3,中小板
002313.SZ,2009/12/3,中小板
002314.SZ,2009/12/3,中小板
002315.SZ,2009/12/9,中小板
002316.SZ,2009/12/9,中小板
002317.SZ,2009/12/11,中小板
002318.SZ,2009/12/11,中小板
002319.SZ,2009/12/11,中小板
002320.SZ,2009/12/16,中小板
002321.SZ,2009/12/16,中小板
002322.SZ,2009/12/18,中小板
002323.SZ,2009/12/18,中小板
002324.SZ,2009/12/18,中小板
002325.SZ,2009/12/22,中小板
002326.SZ,2009/12/22,中小板
002327.SZ,2009/12/30,中小板
002328.SZ,2009/12/30,中小板
002329.SZ,2010/1/6,中小板
002330.SZ,2010/1/6,中小板
002331.SZ,2010/1/6,中小板
002332.SZ,2010/1/12,中小板
002333.SZ,2010/1/12,中小板
002334.SZ,2010/1/13,中小板
002335.SZ,2010/1/13,中小板
002336.SZ,2010/1/13,中小板
002337.SZ,2010/1/15,中小板
002338.SZ,2010/1/15,中小板
002339.SZ,2010/1/22,中小板
002340.SZ,2010/1/22,中小板
002341.SZ,2010/1/22,中小板
002342.SZ,2010/1/26,中小板
002343.SZ,2010/1/26,中小板
